"Riga","Colonna","Colonna_Nome","Valore_Imputato"
18,73,"X155140.0",43825.7270239008
19,73,"X155140.0",43768.817933598
21,73,"X155140.0",40819.461327704
23,73,"X155140.0",41854.0514216059
25,73,"X155140.0",30842.9319568544
27,73,"X155140.0",43831.8152802471
28,73,"X155140.0",43497.2476821501
29,73,"X155140.0",43631.0331030585
12,74,"X1067700.0",48987.4991599942
9,75,"X974880.0",32576.7232275726
13,75,"X974880.0",31942.1453424436
25,75,"X974880.0",12873.3269683829
1,76,"X43847.0",17611.2963532024
2,76,"X43847.0",19196.6768070229
4,76,"X43847.0",19292.8498689368
5,76,"X43847.0",19092.6232333592
6,76,"X43847.0",19408.2595071892
8,76,"X43847.0",19344.6471412647
9,76,"X43847.0",17539.15010465
12,76,"X43847.0",18839.8222846089
13,76,"X43847.0",19348.2020213821
15,76,"X43847.0",18029.2088745502
16,76,"X43847.0",17647.6733908563
17,76,"X43847.0",19400.1251419536
18,76,"X43847.0",19147.4177748783
19,76,"X43847.0",19383.1214396852
20,76,"X43847.0",19389.4069318144
21,76,"X43847.0",12740.8132038157
22,76,"X43847.0",19314.0468324724
23,76,"X43847.0",19089.9881959139
24,76,"X43847.0",19322.3674566034
25,76,"X43847.0",14802.2908159803
26,76,"X43847.0",19287.8776210471
27,76,"X43847.0",13679.5919623438
29,76,"X43847.0",18919.272806029
13,78,"X1118400.0",28216.105374788
21,78,"X1118400.0",27639.3716539839
23,78,"X1118400.0",28026.1178511272
25,78,"X1118400.0",5705.2291263684
7,79,"X168330.0",31296.6864511434
9,79,"X168330.0",28648.8467551741
11,79,"X168330.0",30867.0310241511
12,79,"X168330.0",31704.0852308682
16,79,"X168330.0",32602.8393356911
17,79,"X168330.0",32233.425971952
18,79,"X168330.0",31165.6720976877
21,79,"X168330.0",32073.6040410359
23,79,"X168330.0",27372.948840079
25,79,"X168330.0",23105.1671075977
26,79,"X168330.0",32735.6836923572
19,82,"X191740.0",46547.3201950297
23,82,"X191740.0",46743.8918196169
4,83,"X6504300.0",66170.7225535883
6,83,"X6504300.0",73246.2710288811
8,83,"X6504300.0",71005.5596483339
15,83,"X6504300.0",72108.3838834074
16,83,"X6504300.0",69857.6383697657
27,83,"X6504300.0",73364.9523578745
28,83,"X6504300.0",69509.187720853
29,83,"X6504300.0",56238.3059164514
23,84,"X1757200.0",15946.1392546813
1,85,"X61025.0",25009.7589816797
4,85,"X61025.0",24997.53757428
9,85,"X61025.0",24635.2534151902
12,85,"X61025.0",20788.7934254686
15,85,"X61025.0",24977.455813705
19,85,"X61025.0",24823.4553028105
21,85,"X61025.0",23280.3134494339
22,85,"X61025.0",24714.8810286639
23,85,"X61025.0",24641.8952278355
24,85,"X61025.0",24614.9845406527
27,85,"X61025.0",23322.8505149165
29,85,"X61025.0",25023.0267988199
9,86,"X49052.0",11043.1223369944
11,86,"X49052.0",19047.6377978345
12,86,"X49052.0",14520.3511511166
18,86,"X49052.0",18957.8808022526
23,86,"X49052.0",13422.6876591391
25,86,"X49052.0",5879.13150857954
28,86,"X49052.0",18981.3104429697
29,86,"X49052.0",18784.4525778743
8,87,"X142310.0",45660.4890677855
10,87,"X142310.0",48330.6516756531
11,87,"X142310.0",46878.8162281328
13,87,"X142310.0",46984.7320304144
16,87,"X142310.0",48457.634413844
17,87,"X142310.0",47058.2847573381
19,87,"X142310.0",48446.2028997072
24,87,"X142310.0",48243.2209045346
25,87,"X142310.0",10569.9368850003
28,87,"X142310.0",48375.7720568903
29,87,"X142310.0",24868.7194101726
25,88,"X851360.0",17036.9574780172
5,90,"X0.0...96",34311.6786932551
7,90,"X0.0...96",33035.0769429375
8,90,"X0.0...96",32832.5318344096
10,90,"X0.0...96",33945.6311228028
11,90,"X0.0...96",34418.3424324078
12,90,"X0.0...96",17888.1981804553
22,90,"X0.0...96",34077.9324657744
23,90,"X0.0...96",34042.0935295955
25,90,"X0.0...96",18968.2286996471
29,90,"X0.0...96",33403.5979374585
3,91,"X0.0...97",44459.0627091956
5,91,"X0.0...97",43350.0123880529
7,91,"X0.0...97",40933.1910046926
8,91,"X0.0...97",43277.6822453573
9,91,"X0.0...97",33909.4305379813
12,91,"X0.0...97",32907.6392419804
14,91,"X0.0...97",37254.5459500523
20,91,"X0.0...97",43804.6415625304
22,91,"X0.0...97",43893.7357142094
23,91,"X0.0...97",30620.3737500011
25,91,"X0.0...97",9008.44836800269
28,91,"X0.0...97",44253.1771347614
29,91,"X0.0...97",29984.4310868292
2,92,"X658640.0",39070.3435294504
3,92,"X658640.0",39194.1280990479
5,92,"X658640.0",29557.7692660463
7,92,"X658640.0",24526.6034025617
10,92,"X658640.0",22207.6693309743
12,92,"X658640.0",34412.7720077873
13,92,"X658640.0",39256.0262025739
14,92,"X658640.0",33865.1797226352
17,92,"X658640.0",38904.0557462977
18,92,"X658640.0",24223.3082283978
22,92,"X658640.0",37371.6603347106
23,92,"X658640.0",39339.4027430602
